date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:07	132/132	------	200	untouched ('OK')	text/plain	date:Fri,%2027%20Aug%202010%2014:42:07%20GMT	http://noi.openjudge.cn/robots.txt		(from )
17:13:07	61813/61813	------	200	untouched ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:13:56%20GMT	http://noi.openjudge.cn/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/index.html	(from )
17:13:10	4126/4126	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:38%20GMT	http://noi.openjudge.cn/contests/coming	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/contests/coming.html	(from http://noi.openjudge.cn/)
17:13:10	5453/5453	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:39%20GMT	http://noi.openjudge.cn/contests/past	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/contests/past.html	(from http://noi.openjudge.cn/)
17:13:11	5172/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:39%20GMT	http://noi.openjudge.cn/auth/login/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/auth/login/index.html	(from http://noi.openjudge.cn/)
17:13:11	8952/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:39%20GMT	http://noi.openjudge.cn/ch0101/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/10/index.html	(from http://noi.openjudge.cn/)
17:13:11	7826/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:39%20GMT	http://noi.openjudge.cn/ch0101/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/index.html	(from http://noi.openjudge.cn/)
17:13:11	7150/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:40%20GMT	http://noi.openjudge.cn/ch0101/09/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/09/index.html	(from http://noi.openjudge.cn/)
17:13:12	7442/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:40%20GMT	http://noi.openjudge.cn/ch0101/01/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/01/index.html	(from http://noi.openjudge.cn/)
17:13:12	7255/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:40%20GMT	http://noi.openjudge.cn/ch0101/03/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/03/index.html	(from http://noi.openjudge.cn/)
17:13:12	7208/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:40%20GMT	http://noi.openjudge.cn/ch0101/08/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0101/08/index.html	(from http://noi.openjudge.cn/)
17:13:13	7899/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:41%20GMT	http://noi.openjudge.cn/ch0102/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/index.html	(from http://noi.openjudge.cn/)
17:13:13	7441/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:41%20GMT	http://noi.openjudge.cn/ch0102/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/10/index.html	(from http://noi.openjudge.cn/)
17:13:14	7225/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:42%20GMT	http://noi.openjudge.cn/ch0102/09/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/09/index.html	(from http://noi.openjudge.cn/)
17:13:14	7279/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:42%20GMT	http://noi.openjudge.cn/ch0102/03/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/03/index.html	(from http://noi.openjudge.cn/)
17:13:14	7495/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:42%20GMT	http://noi.openjudge.cn/ch0102/02/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/02/index.html	(from http://noi.openjudge.cn/)
17:13:14	7095/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:43%20GMT	http://noi.openjudge.cn/ch0102/08/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0102/08/index.html	(from http://noi.openjudge.cn/)
17:13:15	10561/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:43%20GMT	http://noi.openjudge.cn/ch0103/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/index.html	(from http://noi.openjudge.cn/)
17:13:15	7450/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:43%20GMT	http://noi.openjudge.cn/ch0103/16/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/16/index.html	(from http://noi.openjudge.cn/)
17:13:16	7036/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:43%20GMT	http://noi.openjudge.cn/ch0103/13/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/13/index.html	(from http://noi.openjudge.cn/)
17:13:16	7173/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:44%20GMT	http://noi.openjudge.cn/ch0103/19/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/19/index.html	(from http://noi.openjudge.cn/)
17:13:16	7045/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:45%20GMT	http://noi.openjudge.cn/ch0103/20/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/20/index.html	(from http://noi.openjudge.cn/)
17:13:16	7637/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:45%20GMT	http://noi.openjudge.cn/ch0103/12/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0103/12/index.html	(from http://noi.openjudge.cn/)
17:13:17	7181/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:45%20GMT	http://noi.openjudge.cn/ch0104/01/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/01/index.html	(from http://noi.openjudge.cn/)
17:13:17	10563/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:45%20GMT	http://noi.openjudge.cn/ch0104/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/index.html	(from http://noi.openjudge.cn/)
17:13:18	7324/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:46%20GMT	http://noi.openjudge.cn/ch0104/03/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/03/index.html	(from http://noi.openjudge.cn/)
17:13:18	7259/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:46%20GMT	http://noi.openjudge.cn/ch0104/02/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/02/index.html	(from http://noi.openjudge.cn/)
17:13:18	7214/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:46%20GMT	http://noi.openjudge.cn/ch0104/13/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/13/index.html	(from http://noi.openjudge.cn/)
17:13:19	7249/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:47%20GMT	http://noi.openjudge.cn/ch0104/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0104/10/index.html	(from http://noi.openjudge.cn/)
17:13:19	7454/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:47%20GMT	http://noi.openjudge.cn/ch0105/37/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0105/37/index.html	(from http://noi.openjudge.cn/)
